Gender,Senior Citizen,Partner,Dependents,Tenure Months,Phone Service,Paperless Billing,Monthly Charges,Total Charges,Churn,Avg Monthly Spend,Tenure Group,Bill_Shock_Ratio,Total_Addon_Services,High_Risk_Security_Profile,Is_Auto_Pay,Cost_Per_Service,Multiple Lines_No,Multiple Lines_No phone service,Multiple Lines_Yes,Internet Service_DSL,Internet Service_Fiber optic,Internet Service_No,Online Security_No,Online Security_No internet service,Online Security_Yes,Online Backup_No,Online Backup_No internet service,Online Backup_Yes,Device Protection_No,Device Protection_No internet service,Device Protection_Yes,Tech Support_No,Tech Support_No internet service,Tech Support_Yes,Streaming TV_No,Streaming TV_No internet service,Streaming TV_Yes,Streaming Movies_No,Streaming Movies_No internet service,Streaming Movies_Yes,Contract_Month-to-month,Contract_One year,Contract_Two year,Payment Method_Bank transfer (automatic),Payment Method_Credit card (automatic),Payment Method_Electronic check,Payment Method_Mailed check
0,1,1,1,1,1,1,70.45,70.45,1,70.45,1,1.0,0,1,0,70.45,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,0,0,0,8,1,0,71.15,563.65,1,70.46,1,1.01,3,0,0,17.79,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0
1,0,0,0,1,1,1,45.65,45.65,1,45.65,1,1.0,0,1,0,45.65,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,0,0,1,7,1,0,95.0,655.5,1,93.64,1,1.015,2,1,0,31.67,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
0,0,1,1,20,1,0,82.4,1592.35,1,79.62,2,1.035,1,0,0,41.2,0,0,1,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,0,0,1,4,1,1,70.9,273.0,1,68.25,1,1.039,0,1,1,70.9,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
1,1,1,0,58,0,1,45.3,2651.2,1,45.71,5,0.991,3,1,0,11.32,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
0,0,1,1,2,1,1,104.4,242.8,1,121.4,1,0.86,4,0,0,20.88,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
0,0,1,0,53,1,1,94.85,5000.2,1,94.34,5,1.005,3,1,1,23.71,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0
0,1,0,1,15,1,1,74.45,1145.7,1,76.38,2,0.975,0,1,0,74.45,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,1,0,1,7,1,0,76.45,503.6,1,71.94,1,1.063,1,0,1,38.22,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,0,0,0,1,0,0,29.95,29.95,1,29.95,1,1.0,1,1,1,14.98,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
1,0,0,1,8,1,0,84.5,662.65,1,82.83,1,1.02,1,1,1,42.25,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
0,0,0,1,13,1,1,79.25,1111.65,1,85.51,2,0.927,2,1,0,26.42,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,0,1,0,1,0,1,24.8,24.8,1,24.8,1,1.0,0,1,0,24.8,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,0,1,1,6,1,1,91.0,531.0,1,88.5,1,1.028,3,1,0,22.75,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
1,0,0,1,1,1,0,79.9,79.9,1,79.9,1,1.0,1,1,0,39.95,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
0,0,0,1,19,1,1,106.6,1934.45,1,101.81,2,1.047,5,0,0,17.77,1,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
1,0,0,0,2,1,1,46.0,84.5,1,42.25,1,1.089,0,1,1,46.0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
0,0,0,1,4,1,1,70.15,268.35,1,67.09,1,1.046,0,1,0,70.15,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,0,1,0,4,1,0,50.05,179.35,1,44.84,1,1.116,1,0,0,25.02,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,1,1,0,55.2,55.2,1,55.2,1,1.0,1,1,0,27.6,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1
1,0,0,1,1,1,1,84.6,84.6,1,84.6,1,1.0,2,0,0,28.2,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1
1,0,0,0,2,1,1,54.4,114.1,1,57.05,1,0.954,1,1,0,27.2,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,1,0,1,11,1,1,95.0,1120.3,1,101.85,1,0.933,3,1,0,23.75,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
1,1,0,0,15,1,1,74.4,1074.3,1,71.62,2,1.039,1,1,0,37.2,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,0,0,0,1,1,1,48.55,48.55,1,48.55,1,1.0,1,0,0,24.28,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,2,1,0,70.4,147.15,1,73.58,1,0.957,0,1,0,70.4,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,1,1,0,1,0,0,40.2,40.2,1,40.2,1,1.0,2,1,0,13.4,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
0,0,1,0,2,1,1,44.6,80.55,1,40.28,1,1.107,0,1,1,44.6,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1,1,0,0,3,0,1,41.15,132.2,1,44.07,1,0.934,2,1,0,13.72,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
1,1,0,0,13,1,1,106.9,1364.3,1,104.95,2,1.019,4,1,0,21.38,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
1,0,0,0,59,1,0,19.35,1099.6,1,18.64,5,1.038,0,0,0,19.35,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1
0,1,0,0,16,1,1,94.45,1511.2,1,94.45,2,1.0,3,0,0,23.61,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
1,0,0,0,1,0,0,24.8,24.8,1,24.8,1,1.0,0,1,1,24.8,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
1,0,0,0,1,1,0,70.6,70.6,1,70.6,1,1.0,0,1,0,70.6,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,0,1,0,5,1,1,85.4,401.1,1,80.22,1,1.065,2,0,0,28.47,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0
0,0,1,0,52,1,1,105.05,5624.85,1,108.17,5,0.971,4,1,0,21.01,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
1,0,1,0,18,1,0,95.15,1779.95,1,98.89,2,0.962,3,1,0,23.79,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1
1,0,1,0,1,1,0,70.0,70.0,1,70.0,1,1.0,0,1,0,70.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,1,0,0,8,1,1,74.5,606.55,1,75.82,1,0.983,1,1,0,37.25,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,0,0,0,10,1,1,44.85,435.4,1,43.54,1,1.03,0,1,1,44.85,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1,1,0,0,24,1,1,76.1,1712.7,1,71.36,2,1.066,0,1,0,76.1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,0,0,0,1,1,1,73.6,73.6,1,73.6,1,1.0,1,0,0,36.8,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,1,0,0,4,1,1,95.45,396.1,1,99.02,1,0.964,2,1,0,31.82,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
1,1,1,0,32,1,1,74.9,2303.35,1,71.98,3,1.041,0,1,0,74.9,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,0,0,0,5,1,1,80.6,415.55,1,83.11,1,0.97,1,1,0,40.3,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
0,0,1,0,38,1,0,80.3,3058.65,1,80.49,4,0.998,5,0,1,13.38,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0
1,1,1,0,24,1,1,93.15,2231.05,1,92.96,2,1.002,3,1,0,23.29,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
0,1,0,0,54,1,0,82.45,4350.1,1,80.56,5,1.023,5,0,1,13.74,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0
0,1,0,0,2,1,1,70.35,139.05,1,69.53,1,1.012,0,1,0,70.35,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,0,0,0,7,1,1,73.85,511.25,1,73.04,1,1.011,0,1,0,73.85,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,0,0,0,2,1,0,80.6,155.8,1,77.9,1,1.035,1,1,0,40.3,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,0,1,0,68,1,1,75.8,5293.95,1,77.85,6,0.974,4,0,1,15.16,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,1,0,0,0
0,0,0,0,43,1,1,104.6,4759.85,1,110.69,4,0.945,4,1,0,20.92,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0
1,0,1,0,63,1,1,103.4,6603.0,1,104.81,6,0.987,4,1,0,20.68,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
0,0,0,0,2,1,1,90.4,168.2,1,84.1,1,1.075,2,1,0,30.13,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
1,0,1,0,4,1,1,84.8,371.9,1,92.98,1,0.912,2,1,1,28.27,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,1,0,0,21,0,1,41.9,840.1,1,40.0,2,1.047,2,0,0,13.97,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
0,0,0,0,10,1,1,80.25,846.0,1,84.6,1,0.949,1,1,1,40.12,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
1,1,1,0,27,0,0,30.75,805.1,1,29.82,3,1.031,1,0,1,15.38,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1,0,0,0,5,1,0,96.5,492.55,1,98.51,1,0.98,3,1,1,24.12,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0
1,0,0,0,2,1,1,85.65,181.5,1,90.75,1,0.944,1,1,0,42.82,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0
0,0,1,0,25,1,1,104.95,2566.5,1,102.66,3,1.022,4,0,1,20.99,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,0
1,0,0,0,1,1,0,50.65,50.65,1,50.65,1,1.0,1,1,0,25.32,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
1,0,0,0,1,1,1,90.85,90.85,1,90.85,1,1.0,2,1,1,30.28,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
1,1,1,0,11,1,0,19.95,214.75,1,19.52,1,1.022,0,0,0,19.95,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
0,1,1,0,55,1,1,85.45,4874.7,1,88.63,5,0.964,2,1,0,28.48,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,0,0,0,34,1,1,73.95,2524.45,1,74.25,3,0.996,1,1,1,36.98,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0
1,0,1,0,69,1,1,99.45,7007.6,1,101.56,6,0.979,3,1,1,24.86,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0
0,0,0,0,1,1,1,19.9,19.9,1,19.9,1,1.0,0,0,0,19.9,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
1,0,0,0,1,1,1,19.6,19.6,1,19.6,1,1.0,0,0,0,19.6,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
1,1,0,0,3,1,1,81.35,233.7,1,77.9,1,1.044,1,1,0,40.67,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
0,0,1,0,22,1,0,83.3,1845.9,1,83.9,2,0.993,2,1,0,27.77,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
0,1,0,0,1,1,1,75.3,75.3,1,75.3,1,1.0,1,1,1,37.65,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,0,1,0,61,1,1,19.4,1182.55,1,19.39,6,1.001,0,0,0,19.4,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,1
1,0,0,0,12,1,1,45.4,518.9,1,43.24,1,1.05,0,1,1,45.4,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,0,0,0,60,1,1,105.9,6396.45,1,106.61,5,0.993,4,1,0,21.18,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
0,0,0,0,1,1,0,69.55,69.55,1,69.55,1,1.0,0,1,0,69.55,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,1
0,0,1,0,28,1,1,81.05,2227.1,1,79.54,3,1.019,1,1,0,40.52,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
1,0,1,0,4,1,0,101.15,385.9,1,96.48,1,1.048,3,1,0,25.29,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
1,0,0,0,7,1,1,99.8,673.25,1,96.18,1,1.038,3,1,0,24.95,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
0,0,1,0,13,1,0,55.95,734.35,1,56.49,2,0.99,1,1,0,27.98,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
1,0,0,0,1,1,1,55.0,55.0,1,55.0,1,1.0,1,1,0,27.5,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0
0,0,1,0,1,1,1,74.7,74.7,1,74.7,1,1.0,1,1,0,37.35,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,0,0,0,24,1,1,80.25,1861.5,1,77.56,2,1.035,1,1,0,40.12,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0
1,0,0,0,5,1,1,96.1,453.4,1,90.68,1,1.06,3,0,0,24.02,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0
0,0,0,0,15,1,0,69.0,994.8,1,66.32,2,1.04,0,1,1,69.0,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0
0,0,1,0,48,0,1,45.3,2145.0,1,44.69,4,1.014,3,0,1,11.32,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0
